Date,Close,Volume,Open,High,Low
6/11/24,$849.31 ,1690514,$849.24 ,$850.94 ,$840.26 
6/10/24,$848.34 ,1402332,$847.18 ,$849.48 ,$842.74 
6/7/24,$845.58 ,1593589,$846.68 ,$850.38 ,$842.29 
6/6/24,$842.64 ,1734991,$835.42 ,$849.09 ,$834.32 
6/5/24,$834.30 ,2080014,$830.91 ,$834.39 ,$821.68 
6/4/24,$827.39 ,1754454,$814.98 ,$828.01 ,$813.04 
6/3/24,$815.39 ,2008733,$811.00 ,$827.91 ,$807.13 
5/31/24,$809.89 ,4360692,$809.03 ,$811.74 ,$788.20 
5/30/24,$815.34 ,2288522,$810.20 ,$819.50 ,$808.30 
5/29/24,$806.52 ,2282792,$807.02 ,$813.44 ,$806.29 
5/28/24,$813.17 ,1986260,$809.74 ,$815.29 ,$804.72 
5/24/24,$809.73 ,1622970,$800.63 ,$816.87 ,$799.09 
5/23/24,$796.34 ,1519159,$804.30 ,$808.05 ,$795.43 
5/22/24,$801.86 ,1192763,$800.04 ,$806.35 ,$798.01 
5/21/24,$800.93 ,1375735,$795.57 ,$801.44 ,$792.00 
5/20/24,$793.00 ,1347079,$795.25 ,$802.98 ,$792.39 
5/17/24,$795.81 ,1309108,$793.61 ,$797.60 ,$790.61 
5/16/24,$793.07 ,2000002,$791.81 ,$804.56 ,$787.83 
5/15/24,$787.04 ,1661652,$778.52 ,$789.66 ,$778.52 
5/14/24,$777.90 ,1327707,$774.93 ,$780.81 ,$771.43 
5/13/24,$775.15 ,1596784,$788.00 ,$789.48 ,$773.58 
5/10/24,$787.19 ,1652658,$779.04 ,$787.45 ,$778.16 
5/9/24,$779.04 ,1716249,$763.80 ,$779.71 ,$763.61 
5/8/24,$763.41 ,1511930,$770.00 ,$773.39 ,$762.71 
5/7/24,$771.31 ,1897769,$758.69 ,$772.24 ,$755.57 
5/6/24,$756.45 ,1773298,$749.59 ,$756.94 ,$746.48 
5/3/24,$743.90 ,2323300,$734.28 ,$747.49 ,$733.35 
5/2/24,$732.44 ,1826910,$724.75 ,$734.40 ,$720.63 
5/1/24,$722.22 ,1609060,$722.27 ,$729.86 ,$715.32 
4/30/24,$722.90 ,1734764,$725.51 ,$725.51 ,$717.10 
4/29/24,$726.33 ,1526906,$729.53 ,$732.25 ,$720.22 
4/26/24,$729.18 ,1524431,$715.00 ,$730.95 ,$715.00 
4/25/24,$721.86 ,1613597,$727.29 ,$727.29 ,$714.41 
4/24/24,$723.89 ,1206638,$719.71 ,$725.43 ,$716.09 
4/23/24,$722.68 ,1176191,$719.03 ,$724.27 ,$716.30 
